Date Measure,Video ID,Channel ID,views,impressions,subscribers gained,likes,shares
1582102689,1d9a74c6c9bb8dab,af135b8b,985,614,658,442,340
1601280886,c4d880046494f761,4889da88,323,681,116,801,322
1508496323,b0f3599e3a0fe78d,fac31985,804,947,127,805,458
1517201213,e67b9f92b8846f92,fc84226b,79,83,298,663,504
1526924604,45dd6aff370e8486,6a59c95c,195,378,48,790,996
1564163885,85c28e7b1e4cd3ed,f7373883,652,89,316,184,815
1489223888,bdef869863f18835,9b0546ed,865,35,5,987,651
1583266699,053825f7d1a65608,728f7915,788,815,330,980,370
1626557710,5272fdd0bf170602,b4b51888,35,46,284,782,921
1630698238,b75da15a2db46c2c,b56e8818,426,275,324,300,603
