Date Measure,Video ID,Channel ID,views,likes,shares
1553445863,cd144d455c0ffe5e,198f45b2,452,18,652
1490809425,0d4ecbe4a1743b6b,509250f6,181,521,991
1540862809,9aa2b53483dacf9b,23dc0cbf,450,86,481
1510284197,a7b61d9681d9862e,9a59ad97,528,226,647
1620850819,70757b990b8808eb,4d71b9ca,21,243,754
1504873606,925876ca0bf2d67e,f47298b4,395,879,763
1634911412,03280ce7565f0f00,ea15f045,644,546,474
1508487696,1fea6165f4572069,2cf5262e,963,246,388
1635480634,094c17f4385a9202,228972d0,183,275,876
1551430428,b954cdd538e58449,e43d7a07,103,162,525
1587321238,f8f9463d4a54fd4b,8877eda5,652,743,614
1533354650,2a7b9da71e15e77c,5fae76d8,494,323,635
1636801617,228984e00ea00f4a,b8649c5d,880,393,998
1502980319,b7090482e9ac47d1,f99bf1e1,232,972,371
1618302939,b48246305f403605,dab06af9,150,210,305
1638160057,26fffa36a6899891,308f3264,265,170,461
1514820723,5f4c20d54486abd6,efde245f,842,643,212
1629908151,7b300a130bd8943d,e68811c2,418,123,627
1597336921,02799f548818568e,19fd2944,824,574,428
1570887547,e811cfbd61927b66,2e90bab3,313,191,504
1553168709,0957eb483ef458c8,74b0a3d9,965,856,703
1615500983,c6c4a96e524279e1,de14595a,961,40,839
1484515550,4b76117e433c35e2,984929a5,808,815,938
1517194633,7517ceaeaec52294,d9de6b1f,923,276,23
1533620733,8eb7924520f0af54,4a3cbe15,226,152,388
1561512271,c7d70681d5c7262d,7cc28a8a,940,923,182
1566745282,320200428f0165b2,e36f0257,652,176,593
1529151374,671eef3e2bfd71dd,e6117048,656,462,981
1585895197,0462964cba5573c0,3910c6b7,1000,704,391
1489253907,67a1b251b036db51,847a7c2f,469,60,768
1529205666,d8d69241a12cc999,d19b9e8e,882,325,751
1598035369,8090a53ae0f9cb3e,5c3be05a,575,214,535
1559334451,a3dc25214c375c46,378c7220,839,370,786
1553139090,639b35eb32f1003c,a4033db2,600,998,347
1554321062,cffee11025c40ee4,e2d6707e,623,765,106
1582575444,0fc3bfa0af4e12be,fef708ce,671,906,707
1498881759,a381f9f42df4e896,9cd288ce,918,208,466
1538669446,2ebae35311f2749c,0613a5de,810,78,583
1519716254,11cb87b09858b92d,b8bf4420,795,565,467
1506094385,4428625532aae839,faf1ee61,259,723,874
1500706285,9e242cf29c631475,a39979da,780,295,893
1486268365,320200428f0165b2,e36f0257,836,275,949
1514411466,784f80623343dbab,c6372257,319,732,902
1617962026,b3051812a6200317,dd303d00,99,112,708
1600376301,23201be32aa4d3a7,d54b26ec,775,384,34
1493918442,7b2cc0705f32f709,58088510,619,368,411
1493274046,96e2e61ea8df900f,965b0e8e,922,981,365
1599334514,b31f6a773c4ebd44,43eb68b0,664,829,486
1486301965,63ea79add8a0458e,c59a73f6,989,358,128
1525610050,b4dfa5bbafcac087,65f372e3,561,169,691
1515299054,5e715bf09fa36888,a856866b,732,956,944
1588248011,6a84488031fc9a31,c3cbb274,82,890,506
1492925005,b7a22dce8cc72769,5c6bfbdd,735,496,419
1582607065,416a17f70ad0741b,24ccc3be,955,608,720
1484741534,695eae765aefedd5,57717a93,655,129,927
1542231588,7728ea5336c9888c,5a042594,525,608,402
